"","condition","gene","fold"
"1","L56NP1","EPHA4",1.97356160119335
"2","L56NP1","EPHA5",NA
"3","L56NP1","EPHA6",-3.00449970001388
"4","L56NP1","EPHB1",-1.63739522864552
"5","L56NP1","EPHB2",NA
"6","L56NP1","PTPRE",NA
"7","L56NP1","PTPRG",NA
"8","L56NP1","PTPRH",-3.9728011402002
"9","L56NP1","PTPRK",NA
"10","L56NP1","PTPRO",-3.10929582167086
"11","L56NP1","PTPRS",NA
"12","L56NP1","PTPRT",-1.24184255831851
"13","L56NP1","PTPRU",NA
"14","L56NP1","PTPRZ1",-4.40563892204922
"15","L56NP1","TENM1",2.05210590345282
"16","L56NP1","TENM2",NA
"17","L56NP1","TENM3",NA
"18","L56NP2","EPHA4",NA
"19","L56NP2","EPHA5",NA
"20","L56NP2","EPHA6",-4.51390361499898
"21","L56NP2","EPHB1",NA
"22","L56NP2","EPHB2",-0.985097534009865
"23","L56NP2","PTPRE",NA
"24","L56NP2","PTPRG",NA
"25","L56NP2","PTPRH",-2.65848299311283
"26","L56NP2","PTPRK",NA
"27","L56NP2","PTPRO",-1.68992850223954
"28","L56NP2","PTPRS",NA
"29","L56NP2","PTPRT",NA
"30","L56NP2","PTPRU",-3.03843187164122
"31","L56NP2","PTPRZ1",-3.95082719163391
"32","L56NP2","TENM1",NA
"33","L56NP2","TENM2",NA
"34","L56NP2","TENM3",-1.80283055939571
"35","L5IT1","EPHA4",NA
"36","L5IT1","EPHA5",NA
"37","L5IT1","EPHA6",-2.13426506814248
"38","L5IT1","EPHB1",NA
"39","L5IT1","EPHB2",NA
"40","L5IT1","PTPRE",1.04231798894728
"41","L5IT1","PTPRG",NA
"42","L5IT1","PTPRH",NA
"43","L5IT1","PTPRK",NA
"44","L5IT1","PTPRO",NA
"45","L5IT1","PTPRS",NA
"46","L5IT1","PTPRT",NA
"47","L5IT1","PTPRU",NA
"48","L5IT1","PTPRZ1",-2.11552617140732
"49","L5IT1","TENM1",1.45033119696736
"50","L5IT1","TENM2",-1.48902191368396
"51","L5IT1","TENM3",NA
"52","L5IT2","EPHA4",NA
"53","L5IT2","EPHA5",NA
"54","L5IT2","EPHA6",NA
"55","L5IT2","EPHB1",-0.889795237199882
"56","L5IT2","EPHB2",NA
"57","L5IT2","PTPRE",NA
"58","L5IT2","PTPRG",NA
"59","L5IT2","PTPRH",-3.27861171919769
"60","L5IT2","PTPRK",NA
"61","L5IT2","PTPRO",NA
"62","L5IT2","PTPRS",NA
"63","L5IT2","PTPRT",NA
"64","L5IT2","PTPRU",NA
"65","L5IT2","PTPRZ1",NA
"66","L5IT2","TENM1",NA
"67","L5IT2","TENM2",NA
"68","L5IT2","TENM3",NA
"69","L5ET1","EPHA4",NA
"70","L5ET1","EPHA5",0.74173697685596
"71","L5ET1","EPHA6",NA
"72","L5ET1","EPHB1",NA
"73","L5ET1","EPHB2",NA
"74","L5ET1","PTPRE",NA
"75","L5ET1","PTPRG",NA
"76","L5ET1","PTPRH",NA
"77","L5ET1","PTPRK",-1.46467652925811
"78","L5ET1","PTPRO",NA
"79","L5ET1","PTPRS",NA
"80","L5ET1","PTPRT",1.47582894927609
"81","L5ET1","PTPRU",NA
"82","L5ET1","PTPRZ1",NA
"83","L5ET1","TENM1",NA
"84","L5ET1","TENM2",NA
"85","L5ET1","TENM3",NA
"86","L5ET2","EPHA4",NA
"87","L5ET2","EPHA5",NA
"88","L5ET2","EPHA6",NA
"89","L5ET2","EPHB1",NA
"90","L5ET2","EPHB2",NA
"91","L5ET2","PTPRE",NA
"92","L5ET2","PTPRG",-0.954471284242098
"93","L5ET2","PTPRH",NA
"94","L5ET2","PTPRK",NA
"95","L5ET2","PTPRO",NA
"96","L5ET2","PTPRS",-0.802655202491579
"97","L5ET2","PTPRT",NA
"98","L5ET2","PTPRU",-1.70342230607509
"99","L5ET2","PTPRZ1",-1.59310975657658
"100","L5ET2","TENM1",NA
"101","L5ET2","TENM2",-0.684944448386632
"102","L5ET2","TENM3",NA
