,gene,baseMean,fold,lfcSE,stat,pvalue,padj,DEG,HARs.Intron,HARs.Flanking,HARs.FlankingandIntron,HARs.Intron.Simp,HARs.Flanking.Simp,HARs.FlankingandIntron.Simp,hCONDELs.Intron,hCONDELs.Flanking,hCONDELs.FlankingandIntron,hCONDELs.Intron.Simp,hCONDELs.Flanking.Simp,hCONDELs.FlankingandIntron.Simp,HARorhCONDEL,HARandhCONDEL,condition,family,group,genegroup
1,ADGRA2,10.14129465,-1.621414359,0.427547314,-3.792362401,0.000149221,0.003004846,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6CT1,Adhesion GPCR Subfamilies,B,A
2,ADGRB2,22.31151572,-0.984415105,0.236153418,-4.16854058,3.07E-05,0.000973928,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L56NP1,Adhesion GPCR Subfamilies,A,A
3,ADGRB2,11.34151269,-1.176808595,0.326511833,-3.604183608,0.000313136,0.008502837,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Pvalb2,Adhesion GPCR Subfamilies,B,A
4,ADGRB3,1340.694677,-0.648536791,0.128784485,-5.035830148,4.76E-07,4.16E-05,TRUE,HARsv2_2476,NA,HARsv2_2476,TRUE,FALSE,TRUE,NA,1097,1097,FALSE,TRUE,TRUE,TRUE,TRUE,Sst3,Adhesion GPCR Subfamilies,B,A
5,ADGRD1,11.46370321,-2.822955849,0.798852708,-3.533762632,0.000409689,0.00718116,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,L6IT1,Adhesion GPCR Subfamilies,B,A
6,ADGRE5,15.83965763,-2.052819013,0.393499217,-5.216831258,1.82E-07,2.31E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Vip1,Adhesion GPCR Subfamilies,C,A
7,ADGRF5,9.048250731,3.247967467,0.598360698,5.428109631,5.70E-08,5.66E-06,TRUE,HARsv2_2446,NA,HARsv2_2446,TRUE,FALSE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,L23IT3,Adhesion GPCR Subfamilies,A,A
8,ADGRG6,18.19151971,4.649669131,0.667073128,6.970253986,3.16E-12,1.05E-09,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Lamp5Lhx61,Adhesion GPCR Subfamilies,B,A
9,ADGRG6,27.17203988,1.516776533,0.338620053,4.479287384,7.49E-06,0.000498846,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst5,Adhesion GPCR Subfamilies,B,A
10,ADGRG6,14.7768696,2.637031953,0.505332418,5.218410415,1.80E-07,2.11E-05,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,Sst4,Adhesion GPCR Subfamilies,B,A
