,id.y,fold,gene,ID_geneid,DESCRIPTION,cell_id,det_filename,det_plate,det_well,pert_batch_internal_compound_enumerator,pert_batch_internal_replicate,pert_desc,pert_dose,condition,pert_dose_unit,pert_id,pert_time,pert_time_unit,pert_type,pert_vehicle,provenance_code
1,P-H0-D00002,0.1056,DYRK1A,1859,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
2,P-H0-D00002,-0.2007,RPS6KA3,6197,"ribosomal protein S6 kinase, 90kDa, polypeptide 3",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
3,P-H0-D00002,0.09639,HN1,51155,hematological and neurological expressed 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
4,P-H0-D00002,0.1704,ZC3HC1,51530,"zinc finger, C3HC-type containing 1",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
5,P-H0-D00002,-0.6274,NCOR2,9612,nuclear receptor corepressor 2,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
6,P-H0-D00002,-1.668,UHRF1BP1L,23074,UHRF1 binding protein 1-like,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
7,P-H0-D00002,0.01522,OCIAD1,54940,OCIA domain containing 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
8,P-H0-D00002,0.08267,PDPK1,5170,3-phosphoinositide dependent protein kinase 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
9,P-H0-D00002,-0.08367,ABI1,10006,abl-interactor 1,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
10,P-H0-D00002,0.452,WDR20,91833,WD repeat domain 20,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
11,P-H0-D00002,-1.3202,MAP4,4134,microtubule-associated protein 4,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
12,P-H0-D00002,0.1848,RBM17,84991,RNA binding motif protein 17,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
13,P-H0-D00002,0.1991,IQGAP3,128239,IQ motif containing GTPase activating protein 3,HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
14,P-H0-D00002,0.066,FAM129B,64855,"family with sequence similarity 129, member B",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
15,P-H0-D00002,0.6464,TMSB4X,7114,"thymosin beta 4, X-linked",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
16,P-H0-D00002,0.5348,TMSB4X,7114,"thymosin beta 4, X-linked",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
17,P-H0-D00002,-1.1152,CLTA,1211,"clathrin, light chain A",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
18,P-H0-D00002,0.03156,SYNRG,11276,"synergin, gamma",HL60,HL60-Rep1-02_carmustine_01,P100_0002,B01,2,1,carmustine,100,carmustine 100um,um,BRD-K36234266,6,h,trt_cp,DMSO,L2X+RMN+SF8+PF9+LLB+OSF+RMN
